field,category,new_v6,count,coverage_pct,target,status,meets_target
beneficios_list,IMPORTANT,NO,4294,65.85,40,OK,YES
certificaciones_list,CONTEXTUAL,NO,108,1.66,20,LOW,NO
descripcion_empresa,OPTIONAL,NO,0,0.00,10,LOW,NO
disponibilidad_viajes,CONTEXTUAL,YES,1014,15.55,20,LOW,NO
experiencia_cargo_previo,CONTEXTUAL,YES,395,6.06,20,LOW,NO
experiencia_max_anios,CORE,NO,288,4.42,60,LOW,NO
experiencia_min_anios,CORE,NO,3648,55.94,60,CLOSE,NO
formacion_requerida,CONTEXTUAL,NO,0,0.00,20,LOW,NO
idiomas_requeridos,OPTIONAL,NO,0,0.00,10,LOW,NO
jornada_laboral,CONTEXTUAL,NO,6400,98.14,20,OK,YES
modalidad_contratacion,IMPORTANT,YES,6062,92.96,40,OK,YES
modalidad_trabajo,IMPORTANT,NO,0,0.00,40,LOW,NO
nivel_educativo,OPTIONAL,NO,5942,91.12,10,OK,YES
nivel_seniority,CORE,YES,5440,83.42,60,OK,YES
requisitos_deseables_list,IMPORTANT,NO,3948,60.54,40,OK,YES
requisitos_excluyentes_list,CORE,NO,6319,96.90,60,OK,YES
salario_max,OPTIONAL,NO,222,3.40,10,LOW,NO
salario_min,OPTIONAL,NO,257,3.94,10,LOW,NO
sector_industria,IMPORTANT,YES,6218,95.35,40,OK,YES
skills_tecnicas_list,CORE,NO,4679,71.75,60,OK,YES
soft_skills_list,IMPORTANT,NO,6107,93.65,40,OK,YES
tecnologias_stack_list,CONTEXTUAL,YES,1562,23.95,20,OK,YES
tipo_puesto,CONTEXTUAL,NO,0,0.00,20,LOW,NO
vacantes,OPTIONAL,NO,0,0.00,10,LOW,NO
