termino,frecuencia,porcentaje
2 años,912,17.35
3 años,876,16.67
5 años,615,11.7
1 años,384,7.31
30 años,303,5.77
senior,208,3.96
4 años,142,2.7
sr,120,2.28
40 años,108,2.06
45 años,102,1.94
25 años,100,1.9
35 años,94,1.79
20 años,86,1.64
junior,85,1.62
50 años,84,1.6
ssr,75,1.43
0 años,64,1.22
jr,53,1.01
semi senior,51,0.97
10 años,44,0.84
15 años,39,0.74
100 años,31,0.59
60 años,28,0.53
7 años,27,0.51
8 años,25,0.48
55 años,23,0.44
18 años,20,0.38
6 años,19,0.36
27 años,11,0.21
semi sr,11,0.21
21 años,11,0.21
pasante,10,0.19
70 años,10,0.19
jr.,9,0.17
138 años,9,0.17
sr.,8,0.15
trainee,8,0.15
semisenior,8,0.15
149 años,8,0.15
semi-senior,8,0.15
28 años,8,0.15
90 años,7,0.13
23 años,6,0.11
32 años,6,0.11
80 años,5,0.1
22 años,5,0.1
48 años,5,0.1
117 años,4,0.08
46 años,4,0.08
500 años,4,0.08
